Ticker,Kurs,RSI,SMA20,SMA50,SMA200,1M %,3M %,6M %,1Y %,Volatilität,Ø Volumen,Vol Ratio,% vom Hoch,% vom Tief,Trend Score
AEP,136.3,66.6,131.53,129.04,116.45,3.1,17.5,18.4,34.6,17.8,3320955,0.6,-0.6,41.6,5
AXP,313.5,55.0,301.39,319.56,333.81,4.2,-16.3,-2.6,26.1,27.1,2900221,0.69,-18.1,30.6,1
AIG,76.87,53.3,75.45,76.69,78.08,1.1,2.5,-6.5,-4.1,23.3,4352342,0.49,-10.7,7.6,2
AMT,179.29,52.9,176.02,180.69,188.49,-0.3,6.4,-2.3,-13.7,23.9,2900591,1.1,-21.4,7.2,1
AWK,137.22,52.6,137.04,133.45,134.57,-0.7,7.9,-1.4,-3.7,22.3,1561432,1.11,-5.8,12.4,4
AMP,446.34,48.1,441.04,468.36,486.61,1.4,-11.8,-8.6,-3.5,25.3,565274,1.1,-17.9,3.7,1
AME,234.91,67.3,216.92,224.95,199.84,9.1,11.7,28.6,48.8,21.6,1334320,0.72,-2.6,52.3,4
AMGN,351.02,46.5,351.9,362.68,317.53,-4.6,8.4,20.5,26.6,28.2,2637017,0.86,-9.6,38.0,2
APH,140.75,59.9,129.67,136.74,127.01,7.3,0.6,11.9,116.7,38.9,8756567,1.11,-15.2,122.9,4
ADI,350.14,67.0,319.93,327.2,269.41,14.0,16.7,48.2,98.4,29.8,3745506,0.67,-2.7,103.1,4
AON,312.57,41.0,322.47,327.12,347.15,-1.1,-10.9,-13.3,-16.6,25.0,1321196,1.83,-18.3,0.8,0
APA,38.63,52.2,39.95,33.45,25.24,14.9,54.8,66.7,170.1,45.6,7505003,0.65,-13.0,172.8,4
APO,104.28,37.7,108.48,114.91,131.33,4.0,-28.2,-14.9,-15.9,36.0,3777708,1.2,-32.4,4.0,0
AAPL,260.48,55.6,253.28,260.84,250.31,1.8,0.5,2.7,32.0,23.8,50676883,0.62,-8.9,35.4,3
AMAT,399.49,66.2,357.09,350.95,253.45,18.4,32.8,81.9,178.1,45.2,7523226,0.85,0.0,197.3,5
APP,391.38,42.6,416.45,431.81,517.26,-12.9,-39.6,-34.8,56.6,71.6,6022922,0.8,-46.6,71.6,0
APTV,59.65,31.4,66.53,73.21,76.8,-14.9,-32.7,-27.9,24.5,35.8,2346575,1.01,-32.7,24.5,0
ACGL,95.97,50.0,94.9,96.86,92.37,1.9,0.8,4.1,4.2,21.3,2037361,1.07,-5.9,13.3,3
ADM,69.73,46.6,71.21,69.26,61.3,-3.8,13.4,15.6,57.5,26.2,3577737,0.82,-5.6,57.5,4
ARES,100.46,37.1,104.95,115.65,152.16,5.5,-42.1,-30.4,-24.6,39.3,2528247,1.75,-46.5,5.5,0
ANET,147.35,63.2,131.97,134.42,132.81,9.9,19.9,-6.9,102.8,51.6,8660855,0.81,-9.1,117.7,4
AJG,213.55,45.4,214.15,219.67,264.29,4.6,-19.0,-28.9,-35.4,27.4,1752605,2.95,-38.2,4.6,0
AIZ,219.4,49.2,217.46,223.5,216.24,1.9,-7.4,1.2,17.6,25.2,407958,0.67,-9.5,21.2,3
T,26.46,35.1,27.85,27.62,26.26,-2.4,12.8,4.8,3.1,21.6,39785442,0.8,-8.1,16.2,3
ATO,190.36,64.3,185.88,181.36,169.13,1.9,14.8,10.1,28.5,15.2,1054457,0.86,-1.0,28.5,5
